aX,aY,aZ,gX,gY,gZ
0.207,-0.52,2.418,-102.966,-12.573,1.099
0.255,-0.355,1.806,-141.846,0.732,18.372
0.307,-0.187,1.254,-173.889,14.282,28.87
0.362,-0.046,0.766,-188.293,27.832,32.532
0.412,0.103,0.455,-194.58,33.813,34.424
0.441,0.239,0.32,-201.843,33.325,37.964
0.441,0.359,0.302,-203.308,31.189,41.138
0.419,0.466,0.329,-201.721,31.25,41.443
0.404,0.536,0.384,-201.599,33.936,39.185
0.396,0.552,0.433,-205.627,37.048,36.316
0.406,0.551,0.444,-211.487,38.452,34.119
0.419,0.535,0.427,-219.666,36.194,34.424
0.43,0.502,0.348,-228.088,31.738,38.269
0.429,0.48,0.239,-234.619,27.344,42.542
0.469,0.453,0.117,-237.305,25.391,44.189
0.443,0.441,0.033,-239.99,29.358,44.006
0.419,0.418,-0.001,-234.863,32.227,45.593
0.411,0.4,-0.066,-225.891,46.143,47.668
0.414,0.412,-0.105,-222.473,62.683,49.744
0.421,0.41,-0.143,-220.154,74.219,54.688
0.413,0.418,-0.15,-225.22,82.336,62.439
0.41,0.416,-0.143,-238.403,85.51,71.106
0.403,0.388,-0.175,-256.348,83.191,80.872
0.366,0.388,-0.288,-269.836,76.111,94.604
0.335,0.347,-0.444,-278.198,70.129,106.079
0.258,0.31,-0.569,-285.828,71.472,110.352
0.217,0.287,-0.655,-288.757,72.815,114.685
0.146,0.285,-0.74,-280.151,73.608,113.464
0.064,0.299,-0.796,-262.634,72.937,105.896
0.018,0.325,-0.784,-243.652,70.251,91.37
-0.002,0.344,-0.731,-227.112,64.697,71.655
0.003,0.32,-0.671,-219.299,56.946,51.331
0.111,0.209,-0.621,-222.839,43.762,37.72
0.203,0.16,-0.695,-229.004,26.855,35.645
0.215,0.185,-0.782,-245.483,13.489,46.753
0.223,0.177,-0.892,-266.296,4.089,67.078
0.213,0.163,-1.003,-280.64,11.963,82.153
0.174,0.151,-1.123,-285.339,32.654,90.393
0.095,0.169,-1.281,-277.954,57.434,91.553
0.012,0.205,-1.381,-262.939,79.102,86.914
-0.058,0.244,-1.417,-245.3,92.163,78.491
-0.119,0.25,-1.425,-228.76,93.262,66.345
-0.148,0.246,-1.417,-214.111,77.942,55.359
-0.128,0.213,-1.395,-210.144,50.11,48.401
-0.113,0.174,-1.357,-215.82,16.785,45.044
-0.088,0.131,-1.303,-225.159,-16.296,44.922
-0.052,0.082,-1.319,-231.445,-43.03,47.729
-0.036,0.024,-1.372,-234.741,-56.335,51.392
-0.037,-0.034,-1.454,-230.53,-54.993,53.833
-0.015,-0.131,-1.496,-213.257,-43.64,52.368
-0.07,-0.044,-1.732,-180.725,-30.334,43.884
-0.063,-0.05,-1.793,-169.373,-14.16,41.26
-0.09,-0.049,-1.822,-153.015,-0.549,37.354
-0.103,-0.035,-1.828,-132.202,4.883,30.334
-0.086,-0.038,-1.802,-111.45,3.479,26.428
-0.083,-0.068,-1.702,-94.788,-1.526,22.4
-0.033,-0.105,-1.632,-87.585,-11.719,16.663
0,-0.13,-1.576,-81.116,-27.039,13.062
0.02,-0.14,-1.511,-75.5,-40.466,13.062
0.031,-0.151,-1.44,-69.275,-48.95,13.916
0.065,-0.161,-1.386,-59.448,-50.11,12.878
0.096,-0.175,-1.347,-46.143,-42.786,8.85
0.124,-0.194,-1.322,-30.396,-29.907,2.93
0.142,-0.199,-1.285,-16.235,-12.817,-1.648
0.148,-0.186,-1.27,-4.639,5.371,-4.517
0.148,-0.178,-1.257,2.686,19.531,-7.385
0.145,-0.166,-1.241,6.775,26.428,-8.484
0.148,-0.155,-1.208,8.484,26.489,-8.484
0.151,-0.144,-1.174,7.324,21.606,-7.202
0.152,-0.138,-1.129,5.005,13.794,-4.456
0.156,-0.135,-1.083,3.235,5.615,-2.747
0.155,-0.127,-1.044,2.563,-0.427,-2.441
0.151,-0.119,-1,2.625,-1.77,-3.235
0.146,-0.119,-0.969,4.272,-1.16,-4.761
0.146,-0.11,-0.951,7.141,0.061,-6.287
0.148,-0.108,-0.936,8.667,0.793,-7.996
0.147,-0.095,-0.923,8.972,1.099,-8.789
0.146,-0.09,-0.911,8.484,1.343,-8.728
0.147,-0.081,-0.901,7.874,1.587,-9.277
0.15,-0.074,-0.897,6.226,2.136,-10.437
0.154,-0.072,-0.901,3.662,2.319,-11.169
0.161,-0.083,-0.908,1.343,1.831,-10.864
0.164,-0.087,-0.923,-0.488,0.183,-10.071
0.162,-0.085,-0.941,-2.014,-1.831,-8.728
0.159,-0.082,-0.958,-3.418,-3.967,-7.263
0.154,-0.081,-0.974,-4.578,-6.165,-6.165
0.154,-0.084,-0.987,-5.066,-8.118,-5.127
0.15,-0.083,-0.989,-5.31,-8.606,-4.028
0.149,-0.084,-0.996,-5.615,-6.47,-2.991
0.179,-0.256,-2.175,195.618,-28.137,-49.377
0.188,-0.212,-2.194,228.21,-10.193,-58.777
0.195,-0.145,-2.372,271.179,8.179,-58.594
0.184,-0.108,-2.418,309.204,21.851,-54.626
0.172,-0.044,-2.472,338.074,30.151,-53.528
0.131,0.013,-2.497,363.77,30.151,-56.824
0.103,0.119,-2.499,385.62,18.616,-62.073
0.079,0.177,-2.39,406.921,-3.357,-69.519
0.085,0.206,-2.247,424.072,-24.536,-80.627
0.094,0.203,-2.074,432.861,-37.964,-94.849
0.133,0.215,-1.91,445.862,-44.983,-109.68
0.152,0.268,-1.747,450.317,-47.424,-122.131
0.172,0.313,-1.588,447.815,-48.218,-123.047
0.197,0.293,-1.422,443.298,-49.072,-119.202
0.248,0.256,-1.277,439.819,-49.5,-115.967
0.271,0.274,-1.189,432.251,-45.837,-109.802
0.262,0.276,-1.16,424.988,-38.391,-98.694
0.238,0.282,-1.129,418.091,-33.875,-87.585
0.23,0.229,-1.048,412.415,-36.56,-81.726
0.21,0.177,-0.992,411.56,-42.297,-78.369
0.174,0.184,-0.977,410.95,-46.021,-73.73
0.131,0.175,-0.938,409.302,-51.27,-71.838
0.096,0.163,-0.886,409.119,-57.129,-72.937
0.025,0.156,-0.832,404.541,-59.326,-73.059
-0.062,0.067,-0.756,397.217,-60.852,-78.064
-0.099,-0.043,-0.62,389.465,-67.017,-88.745
-0.078,-0.198,-0.443,380.371,-78.308,-100.586
-0.089,-0.366,-0.262,369.995,-92.407,-108.215
-0.095,-0.509,-0.023,356.873,-106.689,-111.45
-0.076,-0.645,0.239,340.698,-117.249,-108.765
-0.078,-0.79,0.476,323.12,-118.286,-102.661
-0.045,-1.031,0.705,300.903,-110.474,-93.384
-0.037,-1.357,1.031,279.602,-101.013,-81.177
-0.115,-1.726,1.549,254.333,-90.698,-66.223
-0.313,-2.075,2.25,216.064,-74.463,-52.307
-0.501,-2.434,3.042,160.4,-45.105,-43.945
-0.479,-2.476,3.76,99.792,-7.446,-41.199
-0.239,-2.172,4,35.034,25.879,-36.255
0.032,-1.604,3.731,-23.01,39.49,-20.142
0.149,-1.252,2.847,-78.125,29.846,9.216
0.172,-0.953,1.91,-131.592,12.634,40.833
0.168,-0.702,1.171,-189.575,5.005,58.838
0.162,-0.515,0.723,-235.535,10.62,61.096
0.196,-0.352,0.468,-249.268,22.217,56.763
0.24,-0.159,0.45,-249.451,27.71,53.406
0.277,-0.009,0.554,-248.047,27.588,52.002
0.285,0.083,0.673,-257.812,27.71,51.27
0.316,0.107,0.71,-278.137,29.48,50.842
0.359,0.108,0.68,-305.237,28.625,52.734
0.402,0.079,0.604,-334.839,23.621,59.021
0.417,0.02,0.488,-359.619,18.982,70.374
0.387,-0.034,0.305,-372.803,22.522,85.51
0.331,-0.023,0.08,-375.549,38.33,99.365
0.294,0.012,-0.127,-363.464,55.298,105.042
0.251,0.053,-0.334,-347.107,73.914,103.516
0.248,0.107,-0.487,-335.999,84.29,100.525
0.264,0.166,-0.556,-325.317,82.153,95.764
0.309,0.197,-0.591,-324.402,75.745,90.271
0.359,0.192,-0.653,-336.304,70.557,90.149
0.37,0.152,-0.76,-357.605,68.054,99.06
0.363,0.107,-0.864,-383.118,69.214,114.624
0.297,0.049,-0.946,-408.325,73.059,131.409
0.167,0.025,-1.061,-417.297,78.43,146.057
0.039,0.015,-1.256,-393.982,85.266,150.574
-0.053,0.107,-1.315,-369.629,91.858,143.982
-0.062,0.178,-1.321,-341.797,94.421,123.474
-0.093,0.185,-1.315,-312.561,81.787,95.398
-0.07,0.148,-1.314,-290.649,55.42,70.496
0.004,0.065,-1.338,-284.485,28.137,53.04
0.069,0.008,-1.398,-294.556,7.263,47.058
0.113,0.003,-1.48,-307.739,-1.221,51.086
0.1,0.046,-1.555,-320.679,1.16,60.608
0.051,0.089,-1.582,-331.726,8.728,68.237
-0.01,0.119,-1.663,-342.224,19.409,72.998
-0.088,0.106,-1.755,-345.337,28.198,75.806
-0.166,0.094,-1.85,-339.172,29.541,76.111
-0.192,0.09,-1.985,-313.049,21.606,71.167
-0.188,0.083,-2.121,-272.461,6.104,61.89
-0.174,0.087,-2.147,-240.234,-13.306,53.833
-0.16,0.109,-2.099,-212.646,-31.25,44.8
-0.156,0.113,-1.993,-186.279,-49.255,32.837
-0.16,0.069,-1.878,-163.818,-64.27,20.142
-0.094,0.003,-1.765,-143.799,-78.308,12.085
-0.042,-0.053,-1.647,-127.808,-85.571,5.737
0.002,-0.08,-1.548,-118.225,-79.468,1.587
0.025,-0.136,-1.494,-113.953,-61.34,-3.723
0.056,-0.201,-1.469,-109.802,-38.513,-5.493
0.067,-0.246,-1.437,-102.417,-15.747,-1.831
0.073,-0.251,-1.437,-90.027,4.517,2.563
0.075,-0.235,-1.437,-67.2,19.165,2.869
0.089,-0.204,-1.442,-43.152,25.513,-1.77
0.101,-0.213,-1.416,-26.245,23.682,-7.996
0.118,-0.227,-1.377,-13.855,16.846,-11.658
0.14,-0.242,-1.323,-9.766,6.287,-12.085
0.156,-0.238,-1.259,-7.507,-3.54,-11.292
0.162,-0.235,-1.209,-4.089,-9.888,-10.132
0.173,-0.228,-1.148,-2.869,-12.207,-8.24
0.176,-0.219,-1.099,-2.319,-11.108,-6.958
0.176,-0.205,-1.054,-3.296,-8.057,-7.08
