aX,aY,aZ,gX,gY,gZ
-1.981,0.616,0.646,-80.933,15.076,-255.127
-1.485,0.849,0.513,-195.984,196.472,-37.72
-0.912,1.143,0.518,-279.358,288.574,98.083
-0.451,1.383,0.568,-299.011,267.639,143.494
-0.188,1.453,0.568,-261.597,165.1,107.239
-0.09,1.405,0.505,-201.294,47.363,16.602
-0.147,1.254,0.372,-147.644,-39.49,-85.327
-0.339,1.021,0.246,-114.502,-87.097,-166.199
-0.512,0.798,0.171,-99.243,-104.187,-210.999
-0.599,0.593,0.123,-99.548,-97.351,-217.102
-0.592,0.378,0.068,-108.154,-71.899,-193.848
-0.512,0.207,0.001,-117.676,-37.415,-156.128
-0.405,0.111,-0.086,-122.681,-6.714,-117.004
-0.301,0.037,-0.213,-119.324,12.878,-84.106
-0.19,-0.011,-0.335,-107.239,20.081,-61.89
-0.098,0.01,-0.424,-91.125,16.663,-50.537
-0.008,0.045,-0.506,-72.327,6.897,-46.265
0.049,0.081,-0.592,-54.504,-2.93,-48.279
0.123,0.116,-0.683,-44.006,-9.155,-54.688
0.136,0.105,-0.763,-40.71,-12.512,-62.866
0.134,0.073,-0.813,-41.199,-17.578,-70.435
0.158,0.007,-0.827,-43.396,-25.696,-73.73
0.146,-0.055,-0.82,-43.152,-32.776,-73.792
0.167,-0.095,-0.791,-44.434,-38.391,-69.519
0.171,-0.148,-0.745,-40.955,-38.757,-61.584
0.193,-0.168,-0.702,-33.447,-35.828,-51.88
0.227,-0.172,-0.667,-20.691,-32.288,-41.199
0.24,-0.182,-0.679,-2.136,-26.978,-31.799
0.228,-0.187,-0.738,19.287,-20.447,-24.597
0.244,-0.149,-0.806,39.795,-15.625,-16.113
0.33,-0.06,-0.878,56.702,-13.123,-7.324
0.339,-0.022,-1.07,62.317,-6.531,-3.723
0.384,0.055,-1.06,62.256,-7.324,-6.775
0.378,0.064,-1.053,70.129,-12.634,-4.211
0.383,0.066,-1.086,84.412,-13.672,-1.709
0.357,0.09,-1.091,81.787,-4.639,-0.366
0.352,0.121,-1.071,76.66,3.906,0
0.33,0.148,-1.035,76.843,13.794,6.287
0.318,0.197,-1.046,81.238,18.25,16.602
0.332,0.264,-1.095,88.379,20.752,23.926
0.331,0.327,-1.161,95.52,22.156,28.442
0.314,0.401,-1.217,99.182,22.278,31.494
0.288,0.474,-1.266,98.633,22.827,33.081
0.254,0.523,-1.307,95.276,25.94,33.02
0.228,0.557,-1.342,89.6,29.053,32.715
0.207,0.585,-1.37,82.153,31.921,31.982
0.212,0.617,-1.38,71.838,34.302,31.677
0.214,0.623,-1.363,60.547,34.912,32.654
0.222,0.631,-1.326,49.011,34.241,33.997
0.24,0.665,-1.273,37.781,33.508,33.813
0.263,0.689,-1.23,30.64,32.349,34.058
0.27,0.688,-1.205,27.161,30.884,33.691
0.277,0.685,-1.192,24.109,27.649,31.372
0.283,0.701,-1.187,20.081,23.193,29.114
0.282,0.704,-1.184,16.907,18.066,27.588
0.292,0.687,-1.171,13.428,12.451,25.024
0.306,0.68,-1.145,8.301,7.385,22.034
0.32,0.683,-1.117,1.953,2.869,18.677
0.33,0.674,-1.082,-3.601,-0.183,15.503
0.336,0.658,-1.042,-8.057,-2.625,12.451
0.345,0.645,-1.006,-11.902,-4.822,10.01
0.354,0.641,-0.968,-14.465,-6.714,8.362
0.366,0.642,-0.943,-15.808,-7.996,6.775
0.363,0.638,-0.932,-16.968,-7.751,3.967
0.344,0.63,-0.929,-18.494,-6.897,-0.244
0.325,0.627,-0.927,-20.874,-6.775,-3.784
0.302,0.625,-0.909,-23.743,-8.057,-6.714
0.292,0.615,-0.882,-26.001,-9.583,-9.033
0.281,0.598,-0.858,-27.893,-10.376,-9.888
0.271,0.599,-0.838,-29.785,-10.864,-9.949
